GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.controller,Main,965,0,49,0,196,0,32,0,2,0
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,CanceladoPeloEstabelecimentoState,0,20,0,0,0,6,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,ReembolsadoState,0,16,0,0,0,5,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,EntregueState,0,16,0,0,0,5,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,CanceladoPeloClienteState,0,20,0,0,0,6,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,Contexto,116,241,17,11,31,58,12,24,2,20
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,ProntoParaEntregaState,0,27,0,0,0,8,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,EmRotaDeEntregaState,0,20,0,0,0,6,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,NovoState,0,30,0,0,0,9,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,State,0,9,0,0,0,4,0,2,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,AguardandoPagamentoState,0,27,0,0,0,8,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.state,ConfirmadoState,0,27,0,0,0,8,0,4,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.builder,CestaBasicaBuilder,0,281,0,0,0,30,0,8,0,8
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.builder,DiretorBuilder,0,29,0,2,0,11,0,3,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.collection,ProdutosCollection,86,128,14,20,21,38,15,12,4,6
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.collection,AvaliacoesCollection,0,25,0,2,0,9,0,5,0,4
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.collection,PedidosCollection,0,61,1,7,0,17,1,9,0,6
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.imposto,ProcessaImposto,5,83,1,5,1,17,1,4,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.imposto,ImpostoTipoChain,0,19,0,4,0,6,0,4,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.imposto,ISSChain,0,5,0,0,0,2,0,2,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.imposto,ICMSChain,0,5,0,0,0,2,0,2,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.desconto,ProcessaDesconto,5,83,1,5,1,17,1,4,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.desconto,DescontoIncentivo,0,26,0,6,0,8,0,5,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.desconto,DescontoNatal,16,12,7,1,1,4,4,2,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model.chain.desconto,DescontoTipo,0,26,0,6,0,8,0,5,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model,Cliente,0,9,0,0,0,4,0,2,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model,ItemPedido,4,39,0,0,2,12,1,6,1,6
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model,NumeroDePedidos,0,9,0,0,0,3,0,2,0,2
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model,Produto,5,49,1,1,1,17,1,8,0,8
TrabalhoFinal_GQS,com.gqs.trabalhofinal_gqs.model,Avaliacao,46,18,0,0,13,7,3,3,3,3
